fmu_id.realization,fmu_id.iteration,map_type,data.name,data.attribute,data.time.t1,data.time.t2,statistics,filename
realization-2,iter-3,simulated,therys,average_sgas,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_sgas--20180701_20180101.gri
realization-2,iter-3,simulated,therys,average_soil,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_soil--20190701_20180101.gri
realization-2,iter-3,simulated,therys,average_soil,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_soil--20180701_20180101.gri
realization-2,iter-3,simulated,therys,average_soil,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_soil--20200701_20180101.gri
realization-2,iter-3,simulated,therys,average_swat,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_swat--20200701_20180101.gri
realization-2,iter-3,simulated,therys,average_swat,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_swat--20180701_20180101.gri
realization-2,iter-3,simulated,therys,average_swat,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_swat--20190701_20180101.gri
realization-2,iter-3,simulated,therys,average_wt1f,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_wt1f--20180701_20180101.gri
realization-2,iter-3,simulated,therys,average_wt1f,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_wt1f--20200701_20180101.gri
realization-2,iter-3,simulated,therys,average_wt1f,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_wt1f--20190701_20180101.gri
realization-2,iter-3,simulated,therys,average_wt2f,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_wt2f--20200701_20180101.gri
realization-2,iter-3,simulated,therys,average_wt2f,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_wt2f--20190701_20180101.gri
realization-2,iter-3,simulated,therys,average_wt2f,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--average_wt2f--20180701_20180101.gri
realization-2,iter-3,simulated,therys,oilthickness,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--oilthickness--20190701_20180101.gri
realization-2,iter-3,simulated,therys,oilthickness,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--oilthickness--20200701_20180101.gri
realization-2,iter-3,simulated,therys,oilthickness,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--oilthickness--20180701_20180101.gri
realization-2,iter-3,simulated,therys,relai_mean,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--relai_mean--20190701_20180101.gri
realization-2,iter-3,simulated,therys,relai_mean,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--relai_mean--20180701_20180101.gri
realization-2,iter-3,simulated,therys,relai_mean,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/therys--relai_mean--20200701_20180101.gri
realization-2,iter-3,simulated,topvolantis,amplitude_mean,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/topvolantis--amplitude_mean--20180701_20180101.gri
realization-2,iter-3,simulated,topvolantis,amplitude_mean,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/topvolantis--amplitude_mean--20190701_20180101.gri
realization-2,iter-3,simulated,topvolantis,amplitude_mean,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/topvolantis--amplitude_mean--20200701_20180101.gri
realization-2,iter-3,simulated,topvolantis,amplitude_rms,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/topvolantis--amplitude_rms--20200701_20180101.gri
realization-2,iter-3,simulated,topvolantis,amplitude_rms,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/topvolantis--amplitude_rms--20180701_20180101.gri
realization-2,iter-3,simulated,topvolantis,amplitude_rms,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/topvolantis--amplitude_rms--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,average_pressure,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_pressure--20200701_20180101.gri
realization-2,iter-3,simulated,valysar,average_pressure,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_pressure--20180701_20180101.gri
realization-2,iter-3,simulated,valysar,average_pressure,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_pressure--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,average_sgas,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_sgas--20200701_20180101.gri
realization-2,iter-3,simulated,valysar,average_sgas,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_sgas--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,average_sgas,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_sgas--20180701_20180101.gri
realization-2,iter-3,simulated,valysar,average_soil,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_soil--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,average_soil,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_soil--20200701_20180101.gri
realization-2,iter-3,simulated,valysar,average_soil,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_soil--20180701_20180101.gri
realization-2,iter-3,simulated,valysar,average_swat,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_swat--20200701_20180101.gri
realization-2,iter-3,simulated,valysar,average_swat,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_swat--20180701_20180101.gri
realization-2,iter-3,simulated,valysar,average_swat,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_swat--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,average_wt1f,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_wt1f--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,average_wt1f,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_wt1f--20200701_20180101.gri
realization-2,iter-3,simulated,valysar,average_wt1f,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_wt1f--20180701_20180101.gri
realization-2,iter-3,simulated,valysar,average_wt2f,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_wt2f--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,average_wt2f,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_wt2f--20180701_20180101.gri
realization-2,iter-3,simulated,valysar,average_wt2f,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--average_wt2f--20200701_20180101.gri
realization-2,iter-3,simulated,valysar,oilthickness,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--oilthickness--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,oilthickness,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--oilthickness--20200701_20180101.gri
realization-2,iter-3,simulated,valysar,oilthickness,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--oilthickness--20180701_20180101.gri
realization-2,iter-3,simulated,valysar,relai_mean,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--relai_mean--20180701_20180101.gri
realization-2,iter-3,simulated,valysar,relai_mean,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--relai_mean--20190701_20180101.gri
realization-2,iter-3,simulated,valysar,relai_mean,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/valysar--relai_mean--20200701_20180101.gri
realization-2,iter-3,simulated,volon,average_pressure,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_pressure--20200701_20180101.gri
realization-2,iter-3,simulated,volon,average_pressure,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_pressure--20190701_20180101.gri
realization-2,iter-3,simulated,volon,average_pressure,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_pressure--20180701_20180101.gri
realization-2,iter-3,simulated,volon,average_sgas,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_sgas--20190701_20180101.gri
realization-2,iter-3,simulated,volon,average_sgas,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_sgas--20200701_20180101.gri
realization-2,iter-3,simulated,volon,average_sgas,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_sgas--20180701_20180101.gri
realization-2,iter-3,simulated,volon,average_soil,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_soil--20190701_20180101.gri
realization-2,iter-3,simulated,volon,average_soil,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_soil--20200701_20180101.gri
realization-2,iter-3,simulated,volon,average_soil,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_soil--20180701_20180101.gri
realization-2,iter-3,simulated,volon,average_swat,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_swat--20180701_20180101.gri
realization-2,iter-3,simulated,volon,average_swat,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_swat--20200701_20180101.gri
realization-2,iter-3,simulated,volon,average_swat,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_swat--20190701_20180101.gri
realization-2,iter-3,simulated,volon,average_wt1f,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_wt1f--20180701_20180101.gri
realization-2,iter-3,simulated,volon,average_wt1f,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_wt1f--20190701_20180101.gri
realization-2,iter-3,simulated,volon,average_wt1f,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_wt1f--20200701_20180101.gri
realization-2,iter-3,simulated,volon,average_wt2f,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_wt2f--20190701_20180101.gri
realization-2,iter-3,simulated,volon,average_wt2f,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_wt2f--20200701_20180101.gri
realization-2,iter-3,simulated,volon,average_wt2f,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--average_wt2f--20180701_20180101.gri
realization-2,iter-3,simulated,volon,oilthickness,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--oilthickness--20200701_20180101.gri
realization-2,iter-3,simulated,volon,oilthickness,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--oilthickness--20190701_20180101.gri
realization-2,iter-3,simulated,volon,oilthickness,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--oilthickness--20180701_20180101.gri
realization-2,iter-3,simulated,volon,relai_mean,2018-01-01,2018-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--relai_mean--20180701_20180101.gri
realization-2,iter-3,simulated,volon,relai_mean,2018-01-01,2019-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--relai_mean--20190701_20180101.gri
realization-2,iter-3,simulated,volon,relai_mean,2018-01-01,2020-07-01,,drogon/realization-2/iter-3/share/results/maps/volon--relai_mean--20200701_20180101.gri
realization-20,iter-3,simulated,all,average_pressure,2018-01-01,2018-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_pressure--20180701_20180101.gri
realization-20,iter-3,simulated,all,average_pressure,2018-01-01,2020-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_pressure--20200701_20180101.gri
realization-20,iter-3,simulated,all,average_pressure,2018-01-01,2019-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_pressure--20190701_20180101.gri
realization-20,iter-3,simulated,all,average_sgas,2018-01-01,2019-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_sgas--20190701_20180101.gri
realization-20,iter-3,simulated,all,average_sgas,2018-01-01,2020-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_sgas--20200701_20180101.gri
realization-20,iter-3,simulated,all,average_sgas,2018-01-01,2018-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_sgas--20180701_20180101.gri
realization-20,iter-3,simulated,all,average_soil,2018-01-01,2020-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_soil--20200701_20180101.gri
realization-20,iter-3,simulated,all,average_soil,2018-01-01,2019-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_soil--20190701_20180101.gri
realization-20,iter-3,simulated,all,average_soil,2018-01-01,2018-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_soil--20180701_20180101.gri
realization-20,iter-3,simulated,all,average_swat,2018-01-01,2018-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_swat--20180701_20180101.gri
realization-20,iter-3,simulated,all,average_swat,2018-01-01,2019-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_swat--20190701_20180101.gri
realization-20,iter-3,simulated,all,average_swat,2018-01-01,2020-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_swat--20200701_20180101.gri
realization-20,iter-3,simulated,all,average_wt1f,2018-01-01,2019-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_wt1f--20190701_20180101.gri
realization-20,iter-3,simulated,all,average_wt1f,2018-01-01,2018-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_wt1f--20180701_20180101.gri
realization-20,iter-3,simulated,all,average_wt1f,2018-01-01,2020-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_wt1f--20200701_20180101.gri
realization-20,iter-3,simulated,all,average_wt2f,2018-01-01,2019-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_wt2f--20190701_20180101.gri
realization-20,iter-3,simulated,all,average_wt2f,2018-01-01,2020-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_wt2f--20200701_20180101.gri
realization-20,iter-3,simulated,all,average_wt2f,2018-01-01,2018-07-01,,drogon/realization-20/iter-3/share/results/maps/all--average_wt2f--20180701_20180101.gri
realization-20,iter-3,simulated,all,oilthickness,2018-01-01,2019-07-01,,drogon/realization-20/iter-3/share/results/maps/all--oilthickness--20190701_20180101.gri
realization-20,iter-3,simulated,all,oilthickness,2018-01-01,2018-07-01,,drogon/realization-20/iter-3/share/results/maps/all--oilthickness--20180701_20180101.gri
realization-20,iter-3,simulated,all,oilthickness,2018-01-01,2020-07-01,,drogon/realization-20/iter-3/share/results/maps/all--oilthickness--20200701_20180101.gri
realization-20,iter-3,simulated,basevolantis,amplitude_mean,2018-01-01,2019-07-01,,drogon/realization-20/iter-3/share/results/maps/basevolantis--amplitude_mean--20190701_20180101.gri
realization-20,iter-3,simulated,basevolantis,amplitude_mean,2018-01-01,2020-07-01,,drogon/realization-20/iter-3/share/results/maps/basevolantis--amplitude_mean--20200701_20180101.gri
realization-20,iter-3,simulated,basevolantis,amplitude_mean,2018-01-01,2018-07-01,,drogon/realization-20/iter-3/share/results/maps/basevolantis--amplitude_mean--20180701_20180101.gri
